TCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,mTCI
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
8,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.3
8,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.3
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.6
8,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.205
8,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.205
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
6,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.09
6,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.09
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.56
6,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.12
6,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.12
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.675
7,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.18
7,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.18
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.675
7,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.15
7,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.15
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.6375
8,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.205
8,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.205
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.3721
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.3721
12,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.7225
6,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.12
6,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.12
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.6
